Name,State,District,Party,Years_Served,FIPS_Code,CD
"Crow, Jason",Colorado,06,Democratic,House: 2019-Present,08,0806
"Cuellar, Henry",Texas,28,Democratic,House: 2005-Present,48,4828
"Cummings, Elijah E.",Maryland,07,Democratic,House: 1995-2019,24,2407
"Cunningham, Joe",South Carolina,01,Democratic,House: 2019-2021,45,4501
"Curtis, John R.",Utah,03,Republican,House: 2017-Present,49,4903
"Davids, Sharice",Kansas,03,Democratic,House: 2019-Present,20,2003
"Davidson, Warren",Ohio,08,Republican,House: 2016-Present,39,3908
"Davis, Danny K.",Illinois,07,Democratic,House: 1997-Present,17,1707
"Davis, Rodney",Illinois,13,Republican,House: 2013-2023,17,1713
"Davis, Susan A.",California,53,Democratic,House: 2001-2021,06,0653
"Dean, Madeleine",Pennsylvania,04,Democratic,House: 2019-Present,42,4204
"DeFazio, Peter A.",Oregon,04,Democratic,House: 1987-2023,41,4104
"DeGette, Diana",Colorado,01,Democratic,House: 1997-Present,08,0801
"DeLauro, Rosa L.",Connecticut,03,Democratic,House: 1991-Present,09,0903
"DelBene, Suzan K.",Washington,01,Democratic,House: 2012-Present,53,5301
"Delgado, Antonio",New York,19,Democratic,House: 2019-2022,36,3619
"Demings, Val Butler",Florida,10,Democratic,House: 2017-2023,12,1210
"DeSaulnier, Mark",California,10,Democratic,House: 2015-Present,06,0610
"DesJarlais, Scott",Tennessee,04,Republican,House: 2011-Present,47,4704
"Deutch, Theodore E.",Florida,22,Democratic,House: 2010-2022,12,1222
"Diaz-Balart, Mario",Florida,26,Republican,House: 2003-Present,12,1226
"Dingell, Debbie",Michigan,06,Democratic,House: 2015-Present,26,2606
"Doggett, Lloyd",Texas,37,Democratic,House: 1995-Present,48,4837
"Doyle, Michael F.",Pennsylvania,18,Democratic,House: 1995-2022,42,4218
"Duffy, Sean P.",Wisconsin,07,Republican,House: 2011-2019,55,5507
"Duncan, Jeff",South Carolina,03,Republican,House: 2011-Present,45,4503
"Dunn, Neal P.",Florida,02,Republican,House: 2017-Present,12,1202
"Emmer, Tom",Minnesota,06,Republican,House: 2015-Present,27,2706
"Engel, Eliot L.",New York,16,Democratic,House: 1989-2021,36,3616
"Escobar, Veronica",Texas,16,Democratic,House: 2019-Present,48,4816
"Eshoo, Anna G.",California,16,Democratic,House: 1993-Present,06,0616
"Espaillat, Adriano",New York,13,Democratic,House: 2017-Present,36,3613
"Estes, Ron",Kansas,04,Republican,House: 2017-Present,20,2004
"Evans, Dwight",Pennsylvania,03,Democratic,House: 2016-Present,42,4203
"Ferguson, A. Drew, IV",Georgia,03,Republican,House: 2017-Present,13,1303
"Finkenauer, Abby",Iowa,01,Democratic,House: 2019-2021,19,1901
"Fitzpatrick, Brian K.",Pennsylvania,01,Republican,House: 2017-Present,42,4201
"Fleischmann, Charles J. ""Chuck""",Tennessee,03,Republican,House: 2011-Present,47,4703
"Fletcher, Lizzie",Texas,07,Democratic,House: 2019-Present,48,4807
"Flores, Bill",Texas,17,Republican,House: 2011-2021,48,4817
"Fortenberry, Jeff",Nebraska,01,Republican,House: 2005-2022,31,3101
"Foster, Bill",Illinois,11,Democratic,"House: 2008-2011, 2013-Present",17,1711
"Foxx, Virginia",North Carolina,05,Republican,House: 2005-Present,37,3705
"Frankel, Lois",Florida,22,Democratic,House: 2013-Present,12,1222
"Fudge, Marcia L.",Ohio,11,Democratic,House: 2008-2021,39,3911
"Fulcher, Russ",Idaho,01,Republican,House: 2019-Present,16,1601
"Gabbard, Tulsi",Hawaii,02,Democratic,House: 2013-2021,15,1502
"Gaetz, Matt",Florida,01,Republican,House: 2017-Present,12,1201
"Gallagher, Mike",Wisconsin,08,Republican,House: 2017-Present,55,5508
"Gallego, Ruben",Arizona,03,Democratic,House: 2015-Present,04,0403
"Garamendi, John",California,08,Democratic,House: 2009-Present,06,0608
"Garcia, Jesus G. ""Chuy""",Illinois,04,Democratic,House: 2019-Present,17,1704
"Garcia, Mike",California,27,Republican,House: 2020-Present,06,0627
"Garcia, Sylvia R.",Texas,29,Democratic,House: 2019-Present,48,4829
"Gianforte, Greg",Montana,00,Republican,House: 2017-2021,30,3000
"Gibbs, Bob",Ohio,07,Republican,House: 2011-2023,39,3907
"Gohmert, Louie",Texas,01,Republican,House: 2005-2023,48,4801
"Golden, Jared F.",Maine,02,Democratic,House: 2019-Present,23,2302
"Gomez, Jimmy",California,34,Democratic,House: 2017-Present,06,0634
"Gonzalez, Anthony",Ohio,16,Republican,House: 2019-2023,39,3916
"Gonzalez, Vicente",Texas,34,Democratic,House: 2017-Present,48,4834
"Gooden, Lance",Texas,05,Republican,House: 2019-Present,48,4805
"Gosar, Paul A.",Arizona,09,Republican,House: 2011-Present,04,0409
